"PK","SK","address","agenda","amount","attendee_id","attendee_status","content","created_at","date","description","driver_id","email","entity_type","id_number","is_locked","license_expiry","license_number","location","locked_at","make","meeting_id","meeting_status","model","name","owner_id","paid_at","password_hash","payment_id","phone","reason","recorded_at","reg_number","role","start_time","status","title","updated_at","user_id","year"
"MANUAL_PAYMENT#3fd91bdf-e4b9-45c9-9051-abe46df7867a","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","0108285678087","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","2026-04-28T20:28:09Z","","3fd91bdf-e4b9-45c9-9051-abe46df7867a","","custom","","","","","paid","","","",""
"MANUAL_PAYMENT#1127be18-deaa-48df-8ef4-00bf90bffb03","DETAILS","","","200","","","","2026-04-29T18:33:18Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678083","","","","","","","","","","","","","","1127be18-deaa-48df-8ef4-00bf90bffb03","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#bb984ad2-5d88-45aa-b1c3-d8461622e654","DETAILS","","","200","","","","2026-04-29T18:33:12Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678087","","","","","","","","","","","","","","bb984ad2-5d88-45aa-b1c3-d8461622e654","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#af4ac8d1-f2c4-48a5-97b3-d701f07a9854","DETAILS","","","200","","","","2026-04-29T18:33:19Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","sizawfonelana","","","","","","","","","","","","","","af4ac8d1-f2c4-48a5-97b3-d701f07a9854","","absent","","","","","outstanding","","","",""
"MEETING#a3487667-c50c-4729-b3bb-087427db6a6c","ATTENDANCE#0108285678081","","","","0108285678081","present","","","","","","","ATTENDANCE","","","","","","","","a3487667-c50c-4729-b3bb-087427db6a6c","","","","","","","","","","2026-04-29T18:49:16Z","","","","","","","",""
"MEETING#a3487667-c50c-4729-b3bb-087427db6a6c","ATTENDANCE#0108285678087","","","","0108285678087","present","","","","","","","ATTENDANCE","","","","","","","","a3487667-c50c-4729-b3bb-087427db6a6c","","","","","","","","","","2026-04-29T18:49:16Z","","","","","","","",""
"MEETING#a3487667-c50c-4729-b3bb-087427db6a6c","ATTENDANCE#0108295678083","","","","0108295678083","present","","","","","","","ATTENDANCE","","","","","","","","a3487667-c50c-4729-b3bb-087427db6a6c","","","","","","","","","","2026-04-29T18:49:16Z","","","","","","","",""
"MEETING#a3487667-c50c-4729-b3bb-087427db6a6c","ATTENDANCE#0609876909979","","","","0609876909979","present","","","","","","","ATTENDANCE","","","","","","","","a3487667-c50c-4729-b3bb-087427db6a6c","","","","","","","","","","2026-04-29T18:49:16Z","","","","","","","",""
"MEETING#a3487667-c50c-4729-b3bb-087427db6a6c","DETAILS","","OMNI_MAN","","","","","2026-04-29T18:48:35Z","2026-04-29","","","","MEETING","","","","","OMNI_MAN","","","a3487667-c50c-4729-b3bb-087427db6a6c","active","","","","","","","","","","","","20:47","","OMNI_MAN","","",""
"MEETING#a3487667-c50c-4729-b3bb-087427db6a6c","MINUTES","","","","","","Athandwe\n\nAthandwe\n\nAthandwe","","","","","","MINUTES","","","","","","","","a3487667-c50c-4729-b3bb-087427db6a6c","","","","","","","","","","","","","","","","2026-04-29T19:06:55Z","",""
"MANUAL_PAYMENT#c9623798-a5f7-41d9-be9d-7332aeb8b9d9","DETAILS","","","200","","","","2026-04-29T18:33:08Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678083","","","","","","","","","","","","","","c9623798-a5f7-41d9-be9d-7332aeb8b9d9","","absent","","","","","outstanding","","","",""
"VEHICLE#BD 24 LQ ZN","DETAILS","","","","","","","2026-04-20T15:28:38Z","","","","","VEHICLE","","","","","","","suzuki","","","7 seater ertiga","","11a34c4c-0b63-409b-87bf-8d6f2913678d","","","","","","","BD 24 LQ ZN","","","","","","","2023"
"MANUAL_PAYMENT#3e81a4e6-6339-4913-ba57-86e6862a6b9a","DETAILS","","","200","","","","2026-04-29T18:33:10Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","sizawfonelana","","","","","","","","","","","","","","3e81a4e6-6339-4913-ba57-86e6862a6b9a","","absent","","","","","outstanding","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#0108285678081","","","","0108285678081","","","","","","","","ATTENDANCE","","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","","","ATTENDANCE","","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#8501015800083","","","","8501015800083","","","","","","","","ATTENDANCE","","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#sizawfonelana","","","","sizawfonelana","","","","","","","","ATTENDANCE","","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","DETAILS","","f","","","","","2026-04-22T19:24:24Z","2026-04-22","","","","MEETING","","","","","f","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","inactive","","","","","","","","","","","","21:24","","f","2026-04-27T19:34:27Z","",""
