"PK","SK","address","agenda","amount","attendee_id","attendee_status","created_at","date","driver_id","email","entity_type","id_number","item_name","license_expiry","license_number","location","make","meeting_id","meeting_status","model","name","owner_id","password_hash","payment_id","phone","recorded_at","reg_number","role","start_time","status","title","updated_at","user_id","year"
"VEHICLE#BD 24 LQ ZN","DETAILS","","","","","","2026-04-20T15:28:38Z","","","","VEHICLE","","","","","","suzuki","","","7 seater ertiga","","11a34c4c-0b63-409b-87bf-8d6f2913678d","","","","","BD 24 LQ ZN","","","","","","","2023"
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#0108285678081","","","","0108285678081","","","","","","ATTENDANCE","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","ATTENDANCE","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#8501015800083","","","","8501015800083","","","","","","ATTENDANCE","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","ATTENDANCE#sizawfonelana","","","","sizawfonelana","","","","","","ATTENDANCE","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","DETAILS","","f","","","","2026-04-22T19:24:24Z","2026-04-22","","","MEETING","","","","","f","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","inactive","","","","","","","","","","21:24","","f","2026-04-27T19:34:27Z","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#0108285678081","","","","0108285678081","","","","","","ATTENDANCE","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","2026-04-27T20:05:28Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","ATTENDANCE","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","2026-04-27T20:05:28Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#8501015800083","","","","8501015800083","","","","","","ATTENDANCE","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","2026-04-27T19:35:40Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","DETAILS","","Ntombela","","","","2026-04-27T19:35:18Z","2026-04-27","","","MEETING","","","","","Ntombela","","e388939d-79e8-4877-be58-ce75733d5a6e","active","","","","","","","","","","21:34","","Membership","","",""
"OWNER#fb21739f-21e4-4766-8d62-93f2fb6bd92d","PROFILE","","","","","","2026-04-20T10:06:33Z","","","anelemlaba412@gmail.com","OWNER","0108295678083","","","","","","","","","Cebo Mthalane","fb21739f-21e4-4766-8d62-93f2fb6bd92d","","","0633386167","","","","","","","","",""
"USER#0108285678083","PROFILE","","","","","","2026-04-19T17:24:39Z","","","","USER","0108285678083","","","","","","","","","Anele Madonda","","795bca63f563285e4443a9b55f8d34b729a199bc96696149846abf9ad8a3dca2","","","","","chairperson","","","","","220a5e8c-e5fa-4b84-a360-96163d8bd656",""
"DRIVER#35be6f43-5823-4c65-b3bf-a6c51ec4f778","PROFILE","","","","","","2026-04-20T18:16:17Z","","35be6f43-5823-4c65-b3bf-a6c51ec4f778","","DRIVER","0108285678083","","2026-03-11","PDP123","","","","","","AneLe Madonda","","","","0633386167","","","","","","","2026-04-20T18:17:28Z","",""
"USER#user@example.com","PROFILE","","","","","","2026-04-18T14:27:23Z","","","user@example.com","","","","","","","","","","","John Doe","","yourPassword123","","","","","user","","","","","72fecdf7-1ba0-4c93-8875-073e6fc2b10d",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#0108285678087","","","","0108285678087","","","","","","ATTENDANCE","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","ATTENDANCE","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#0609876909979","","","","0609876909979","","","","","","ATTENDANCE","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#8501015800083","","","","8501015800083","","","","","","ATTENDANCE","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#sizawfonelana","","","","sizawfonelana","","","","","","ATTENDANCE","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","DETAILS","","Agenda","","","","2026-04-22T18:26:15Z","2026-04-22","","","MEETING","","","","","kwaNtombela","","75fd4f54-0792-409f-a176-c1ac14f6512f","inactive","","","","","","","","","","20:25","","General","2026-04-27T19:34:31Z","",""
"MEETING#a91c870a-da27-4eb3-b3b0-486b999a45be","DETAILS","","1. Financial report\n2. Route updates\n3. Driver performance review","","","","2026-04-20T21:18:20Z","2026-04-25","","","MEETING","","","","","""Community Hall, Uzimeleni""","","a91c870a-da27-4eb3-b3b0-486b999a45be","","","","","","","","","","","","","Monthly Owners Meeting","","",""
"USER#8501015800085","PROFILE","","","","","","2026-04-19T16:04:00Z","","","","USER","8501015800085","","","","","","","","","Anele Madonda","","795bca63f563285e4443a9b55f8d34b729a199bc96696149846abf9ad8a3dca2","","","","","","","","","","6da870b8-e333-4971-a395-bbdbe7ae5318",""
"MEETING#c912cc14-f310-45da-aad6-3ecf92b8c63a","DETAILS","","O","","","","2026-04-23T19:00:22Z","2026-04-23","","","MEETING","","","","","O","","c912cc14-f310-45da-aad6-3ecf92b8c63a","inactive","","","","","","","","","","21:00","","O","2026-04-27T19:34:17Z","",""
"PAYMENT#payment-001","DETAILS","","","1500","","","2025-01-31T12:00:00Z","","","","PAYMENT","","Monthly transport fee - January 2025","","","","","","","","","owner-001","","payment-001","","","","","","complete","","","",""
